fit,user_id,bust_size,item_id,weight,rating,rented_for,review_text,body_type,review_summary,category,height,size,age,review_date,sent_score,cluster,fit_type,body_type_encoded,fit_type_encoded
fit,289165,32c,241461,120.0,10.0,formal affair,"This dress is absolutely perfect! I originally grabbed this dress in the Georgetown RTR store as a back-up because it just looked pretty ""eh"" while on the hanger, but when I tried it on, I instantly felt like a princess. I loved how it flowed, and it was such an easy dress to dance in all night. I'm 5' 6"" - 5' 7"", and the dress was about an inch or two too long, and there is way too much fabric and layering to hem it with the tape they sell at RTR, but that was easy to fix with one inch Jack Roger wedges (easier to dance in as well :)). Overall, the dress was amazing, the colors photographed perfectly, and  I felt great at my senior prom. ",full bust,Such an easy dress! Danced all night! ,dress,66.0,4,20.0,2016-04-28,1.0,2,large,2,1
small,610914,32c,1739627,140.0,10.0,party,"Lovely fabric, heavier than I imagined it would be (somehow I thought billowy, but its softer and stiffer than that) but it runs small around the ribcage - my normal size gapped 2 inches. I've sent it right back to try the larger size. Pretty!",hourglass,Runs small,dress,63.0,4,32.0,2016-03-10,0.0,2,large,3,1
fit,205922,34b,149913,130.0,8.0,party,"I wore this to a company holiday event and wanted something that would stand out.  I loved that it had long sleeves, making it feel modern but also more ideal for a company event, given that it did run short on me, being tall.  I got several compliments on the dress.  It fit well and the jersey material made it comfortable and stay in place. ",straight & narrow,So unique!,dress,69.0,8,34.0,2014-02-06,0.0,2,large,6,1
fit,513479,34d,1133906,123.0,10.0,work,Will rent again,hourglass,The material was not what I was expecting (exceeded my expectations) received compliments all day ,sheath,61.0,4,32.0,2016-11-10,2.0,1,small,3,2
fit,110746,30dd,872951,123.0,10.0,formal affair,"Gorgeous fit, I ordered two sizes (Small and Medium), both were great, could go with either one. Small fit the best.",hourglass,"Perfect color, fit and length",gown,63.0,8,37.0,2017-12-26,4.0,2,large,3,1
fit,854094,32c,123373,122.0,10.0,wedding,"The dress was beautiful and very comfortable.  The 4 actually was a little too long in the sleeve and the length.  The 2 was still a bit long but not a tripping risk.  It still was dragging a bit and I had to hold it up to walk and I am 5'5"" and was wearing a pretty high  heel.  I received a lot of compliments on the dress and felt very glamorous.  I like plain, simple clothes so I really loved this as it was elegant and had beautiful structure but not flashy.  And did I mention soooo comfortable!!!",straight & narrow,It was a very beautiful black tie wedding,gown,65.0,4,50.0,2017-11-09,3.0,2,large,6,1
fit,335467,34b,2155094,130.0,10.0,date,"I rented this for my birthday dinner at a downtown restaurant and loved every minute of it. This jumpsuit is super flattering, sexy, classy and comfortable. The only downside is the zipper, like other girls have mentioned. Difficult to zip by yourself. Highly recommend this and will definitely rent it again!",petite,"Love, love, love it!",jumpsuit,63.0,8,29.0,2016-11-03,9.0,1,small,5,2
fit,845755,34b,387552,112.0,10.0,formal affair,"Fit was good. Barely brushing the floor in the back with 3"" heels",hourglass,Felt pretty in this dress,gown,63.0,8,43.0,2017-06-17,1.0,1,small,3,2
fit,681609,36c,203856,165.0,8.0,formal affair,"I am 5'10"" and the Long was too short for me in the front. Had I been able to try this dress on in the store, I probably would not have rented it because I really didn't like how short it was. But other than that, the dress fit and felt great and I loved the way it looked. I just wish it had been longer.",hourglass,Very flattering and the perfect dress for the Gatsby themed New Years Eve party I attended.,gown,70.0,17,29.0,2018-01-03,3.0,2,large,3,1
fit,858777,34c,1364569,130.0,10.0,other,Dress fit well and had a very classy feel to it.  Rented it for a meeting I had to attend and was great for the occasion ,athletic,Very beautiful dress.  Classy!,sheath,68.0,12,35.0,2016-09-04,6.0,0,fit,1,0
fit,729616,34d,1064397,143.0,8.0,wedding,"Wore this to a semi-formal wedding and it was just perfect! The material was quite thick which was nice for being on the ocean and for smoothing coverage as well as when it got cooler at night, but if it had been any hotter it would have been too much. Fit true to size.  Wore it with 4 inch wedges and it was the perfect length.",hourglass,Love this dress! Super flattering and fun but still classy.,gown,63.0,16,32.0,2015-10-07,13.0,0,fit,3,0
fit,908171,34c,174086,130.0,8.0,wedding,"I rented this dress in both a 0 and a 2 and ended up going with the 0, and it was still a little bit big for me around the waist. It would have been perfect to cinch with a belt, but I couldn't find one in such short notice.

Probably the most comfortable dress I've ever worn. The lacy detail around the sleeves were my favorite part, and the pockets were also very helpful while dancing at the wedding. I would highly recommend this dress if you want to be comfortable, and not worry about it being too short. ",straight & narrow,"Was a littttttle big for me, but still super comfortable",dress,66.0,1,29.0,2014-05-12,6.0,2,large,6,1
fit,276186,34b,2251739,120.0,10.0,everyday,"I wore the with jeans to my son's toddler bday party on the weekend, and also wore it to work with a black flare mini and boots.  It is a stylish, versatile piece.  I liked that the sweater was fitted and was not too long/hit at hipbones.",athletic,Sweater with Style,sweater,65.0,8,47.0,2016-03-04,0.0,2,large,1,1
fit,330024,32d,182915,130.0,10.0,party,"This dress fit perfectly, and the ruched sides covered any imperfections.  Really lovely dress.",hourglass,Great dress!,dress,66.0,8,53.0,2011-12-07,3.0,2,large,3,1
fit,351728,34d,1497935,130.0,10.0,other,"I wore this for a wedding shower and it was perfect. It was a great length, the bust fit great, the sleeves weren't too tight. i loved it. I ended up going with the medium since it fit better and i think i would have had some trouble zipping up the small. I had my daughter with me and the times i had to squat down to put her in her car seat i had to be cautious not to flash anyone, but you can avoid that situation pretty easily.  between the top and the skirt there is a thick seem, but for me it was fine. for others that have a thicker torso it might be tight. got lots of complements!",athletic,"Fit great, felt great",dress,61.0,14,31.0,2017-04-10,7.0,2,large,1,1
fit,606693,36b,1542652,145.0,8.0,wedding,"This dress is gorgeous and really accentuates all your features! With that being said, it does show imperfections in your tummy area, but not as bluntly as other tight fitting dresses. I will say one of the only issues I had was continually having to adjust the dress around my chest (with it being a strapless) because the lining kept show and slipping down. Other than that, it was a phenomenal choice and I am VERY happy with it! ",athletic,This dress definitely brought the WOW factor! Would definitely recommend!,dress,68.0,12,27.0,2017-11-06,6.0,2,large,1,1
small,126879,36c,1406963,155.0,4.0,wedding,Huge on top and super tight in the waist,pear,strange fit,dress,64.0,28,38.0,2017-06-20,0.0,2,large,4,1
small,956351,34b,1854157,130.0,10.0,wedding,Great dress! super comfortable. M fit but too snug for my liking.   Hem hit right above knee. Would rent again !,hourglass,Love!!,dress,64.0,20,33.0,2015-07-08,3.0,2,large,3,1
fit,214108,32d,2872079,105.0,10.0,everyday,"This jacket is perfect.  It's a neutral color that goes with everything.  Has great details... zippers, pockets, and belt which make it more than just a regular leather jacket.  It's snug, but that's the way it's meant to be worn.  I felt it fit very true to size.  I would have love to kept it longer, but the weather got much too cold!",petite,Great Color and detail,jacket,62.0,4,43.0,2016-11-23,3.0,2,large,5,1
fit,345053,34b,1754771,135.0,8.0,wedding,"Overall, I was pleased with my choice in this dress. I certainly received compliments on it, and the color was fun. (It looks pretty pink here because of the lighting, but it's more purple). The only frustrating thing was that there was no way to wear a bra with it, and unless you have a full enough chest, the top will swallow you. So I had to buy those sticky implants that actually worked really well to fill out the dress nicely and give me a little more support. Other than that, no complaints. Loved the pockets! And it was a truly high quality dress in terms of the material and the cut.",athletic,comfortable and quality material,gown,65.0,8,27.0,2015-07-14,4.0,2,large,1,1
fit,407375,34a,321674,130.0,6.0,everyday,"It was way to short, I wasn't able to wear it ",straight & narrow,"Cute, but really short! ",shirtdress,68.0,8,29.0,2016-11-22,2.0,2,large,6,1
fit,804645,36d,1312996,190.0,10.0,formal affair,"The side zipper was being difficult due to the band, but don't give up, it'll go.",hourglass,Everyone complimented me on the gown.  It looks a lot better on then the hanger!!,gown,68.0,28,48.0,2015-01-19,4.0,2,large,3,1
fit,979773,34b,1281865,130.0,10.0,wedding,"This dress is not my typical style (I normally wear something fitted all over for formal events), but I kept going back to this one for whatever reason for a fall wedding I had coming up. It did not disappoint. I fluctuate between a 2 and 4 depending on the brand so got both sizes and went with the 2. The differences between the two were very subtle, I just preferred the smaller size since it was more fitted up top and I liked where the skirt fell lengthwise. It ran pretty true to size, but I thought the skirt fell longer than it appeared in the photo (and I'm 5 foot 6 so I normally don't have issues with length), but I didn't think it took away from the look at all. It was super comfortable which is high on my list, it was really fun to dance in, and was very unique in comparison to other guests at the winter wedding I wore it to. It's a great rental - you won't regret it!",straight & narrow,Loved this dress,dress,66.0,4,31.0,2017-01-02,3.0,1,small,6,2
fit,268942,36d,1829354,150.0,8.0,everyday,"Cotton jersey knit material.  Comfortable and flattering, I dressed it down with a jacket and booties.",athletic,comfortable can dress up or down.,dress,64.0,14,36.0,2017-10-22,2.0,2,large,1,1
fit,390300,34d,1457605,145.0,10.0,work,"I rented this for work.  I wanted a transitional piece that would work for the cold mornings, but also something I wouldn't be dying in during  the afternoon when it warmed up.  This dress was perfect! The material was light but the coverage of the dress balanced it out.  The fit was super flattering, I felt so thin.  I got compliments on it all day long, I wish I kept it longer!! ",hourglass,Perfect Work Dress ,dress,67.0,12,27.0,2017-10-23,3.0,2,large,3,1
large,375120,32c,973512,136.0,10.0,party,"This dress definitely runs a little large - especially since it's more of a loose style so I would suggest sizing down. It also runs a bit short, so if you are taller or have longer legs like me it definitely will not hit the ground. 

The material is incredibly soft and the pattern looks like stripes in photos but is more like a watercolor painting - received lots of compliments on this one.",athletic,Gorgeous flowy dress,dress,67.0,4,35.0,2017-10-18,0.0,2,large,1,1
fit,597998,34dd,2884139,145.0,10.0,party,It fit me perfectly and everyone complimented me!,hourglass,I loved this jumpsuit.,jumpsuit,67.0,12,34.0,2017-04-29,3.0,1,small,3,2
fit,355308,34b,1795313,120.0,10.0,everyday,"Fit: Not so tight that it shows your lumps, not too loose that it makes you lumpy. 

Material: Substantial and luxe.

Sizing: I'm 5'3"" and the 4R fit perfect with Halogen slip-ons.",hourglass,I love this dress. I'm already talking to RtR about buying it. <3,maxi,62.0,8,40.0,2015-11-11,3.0,1,small,3,2
fit,970594,34c,1048184,115.0,10.0,vacation,"This dress fit great, but it did ride up as I walked. I didn't let it get me down, because it looked so great. 
 We were off to a concert that night, but stopped off for an impromptu renewal of our vows with Elvis - this dress was so fun and just added to the tone of our evening. ",hourglass,Vegas ready.,dress,61.0,8,45.0,2017-09-19,0.0,2,large,3,1
fit,112436,32b,298830,115.0,10.0,work,"I liked this one more than I thought I would! I was afraid it would be short, but it was fine for work. The material was nicer than I expected. Really cute print and love the asymmetrical cut. ",straight & narrow,Love this!,shift,67.0,4,30.0,2016-09-08,3.0,1,small,6,2
fit,335862,34d,131533,128.0,10.0,party,"The length was perfect, it all fit very true to size.",apple,I loved everything about this dress! ,gown,64.0,20,52.0,2014-01-10,3.0,1,small,0,2
fit,880778,36d,1726756,174.0,10.0,party,The dress was a little tight across the chest but I am on the busty side. The details are beautiful and so is the material and color. I would def rent it again. My only regret is not getting any good photos. ,full bust,I rented this for my 35th birthday dinner. It was perfect. ,dress,69.0,20,37.0,2015-11-18,3.0,1,small,2,2
large,871986,34b,808736,125.0,8.0,work,"Runs a little large and long, I am 5'7 and 130 lbs and this was a tad too big and long. Overall still a great dress for work. Material is pretty thick so would be great for spring, fall. ",straight & narrow,"Cute dress, thick material",dress,67.0,8,32.0,2016-08-22,2.0,2,large,6,1
fit,234006,34c,206536,135.0,10.0,wedding,This dress is absolutely gorgeous and has an extremely flattering fit. The navy color is beautiful and the off the shoulder style makes it really special. Absolutely love.,hourglass,Beautiful dress for a wedding or gala event,dress,68.0,12,34.0,2017-06-01,3.0,2,large,3,1
fit,870233,40ddd/e,123793,130.0,10.0,formal affair,The dress fit perfect. I decided to order a size up because of the type of dress and also because I am more curvy; it was a good thing I did. The dress was very comfortable and the sequins did not irritate my skin. I wore this dress to the marine corp ball and for my engagement pictures; received compliments all night long. Would definitely order this dress again !,hourglass,This dress was stunning!,gown,62.0,36,21.0,2017-11-24,4.0,1,small,3,2
fit,742630,32a,1923283,110.0,10.0,date,This dress is extremely flattering and comfortable! I love the unique design and how simple it is. This runs true to size and we recommend sizing up for your backup. This is great for any cup size and the fabric is stretchy. This should be worn with a strapless bra. Pair this with a gold cuff or bracelet! ,straight & narrow,STYLIST REVIEW,dress,66.0,4,24.0,2017-07-13,0.0,2,large,6,1
fit,335330,34d,1730182,135.0,10.0,formal affair,"I am a true size 4 in Badgley Mischka dresses, and this was no different. I am 5'3"" and wore 4 inch heels and the regular length was perfect. I am not overly busty, but I couldn't wear a bra with this dress because it would have been too tight. Not wearing a bra was not a problem since the fabric was thick enough and ruched. However, if you have a larger chest, I would order up a size. It was very flattering (especially for someone with a booty.) I would definitely recommend! ",hourglass,"Perfect color for a ""prom"" themed formal party!",gown,64.0,8,28.0,2015-04-22,3.0,2,large,3,1
fit,208980,34d,1851598,143.0,10.0,wedding,"LOVED IT!
Stretch fit. Thick fabric help keep everything where it should be!",hourglass,"Loved the bright and fun pattern! 
",sheath,64.0,20,34.0,2016-05-31,8.0,2,large,3,1
large,24792,34b,2107747,135.0,10.0,date,"Want want want 
It's such a thick cable, soft and great to wear ",pear,"Brunch top for sure!! 
It's like wearing your pajamas out in public, but looking classy and sexy. 
",sweater,65.0,14,29.0,2017-09-18,10.0,0,fit,4,0
fit,948424,34c,1472909,140.0,6.0,party,"This was perfect for an office party. I really liked how big (very big) the skirt was. It was classy and fun. If you are anything more than a C cup, order a size bigger than 2. My boobs just barely fit.",hourglass,"I liked this! But, don't wear it if you want to be really sexy.",dress,66.0,4,25.0,2014-12-15,6.0,2,large,3,1
fit,269712,34d,259136,125.0,8.0,work,"I was wavering between true to size and large. The fabric is stretchy and it probably runs a bit big, but I wouldn't have ordered down a size. I think if I had ordered a two, it would have been tight in the bust. The extra fabric wasn't unflattering and if anything, made it comfortable. Nicely made dress.",full bust,Great work dress,sheath,62.0,8,32.0,2016-03-01,3.0,2,large,2,1
fit,342682,32c,619157,112.0,10.0,wedding,"I wore this dress at a rehearsal dinner for a formal wedding. I LOVED it! The color is kind of a neon yellow/green in person. Kind of like a tennis ball. Surprisingly pretty for such a weird color. The neckline adds a little interest to a simple, clean, but still flirty look. I got so many compliments. Also, it fits like other Elizabeth and James dresses, which is tight and non-stretchy but generally true to size. If you have bigger than a mid-sized bust, you're gonna want to size up.",hourglass,Love love this dress! ,dress,67.0,4,27.0,2016-10-14,6.0,1,small,3,2
fit,245758,38d+,132738,130.0,8.0,party,"This dress is gorgeous, but the front is VERY low cut. No bra can be worn with it the way it is. But a few pins here and there fixed it right up!",hourglass,I love RTR! I always feel amazing when I get a dress from them!,gown,65.0,16,32.0,2014-10-04,7.0,2,large,3,1
small,85681,34c,135750,115.0,8.0,wedding,"Comfortable, beautiful lace. The first I dress received was damaged (big hole in lace on back) but excellent customer service - they overnighted a pristine dress in correct size to my hotel. Got lots of compliments!",petite,Black tie wedding,shift,63.0,8,32.0,2015-01-26,0.0,2,large,5,1
fit,769732,34d,1113191,130.0,10.0,wedding,The dress fit well - both the 8 and 10. I went with the larger size as it looked a little better. The scuba material is great. The dress was incredibly comfortable and super flattering. Fun to dance in for a wedding. Fit a larger bust well. I felt very put together and the painted floral print felt special.,full bust,Comfortable and put together for a late summer outdoor wedding!,dress,63.0,20,33.0,2014-08-31,2.0,2,large,2,1
large,468958,36c,2410627,160.0,10.0,everyday,Cant wait to wear this for 4th of July - it is a litle big but the straps are adjustable. It is a faltering top actually! Covers your arms the perfect amount. ,athletic,Love this top! ,top,66.0,20,30.0,2017-06-29,5.0,1,small,1,2
large,383116,34d,126335,128.0,10.0,formal affair,"I normally wear a 4, but ended up wearing the 2. I am 5'8"" and 126 lbs and 34D. The 4 was too big thru the hips.  The zipper was impossible to zip--but I found that if I put it on backwards and then turned it around, it worked!  ",full bust,"The dress was fun, comfortable and pretty.",dress,68.0,4,48.0,2014-06-08,7.0,2,large,2,1
fit,771780,34b,962489,170.0,10.0,vacation,"Lovely dress for a summer vacation. Felt elegant and the material was thick enough to be able to wear any type of undergarments. The only downside was the middle button over my chest would come undone sometimes, but still one of my favorite dresses rented from RTR",hourglass,Pockets! ,dress,68.0,35,29.0,2017-11-17,0.0,2,large,3,1
fit,397123,34b,982932,128.0,10.0,other,I rented this to wear for my daughter's baptism.  It's a great dress since you can wear a regular bra with it.  The a-line made it very easy to camouflage a lower belly pooch and wider hips.  I loved how I looked in it so much I bought it!  It's my favorite date-night dress.,pear,"Loved it so much, I bought it!",dress,65.0,12,32.0,2016-05-23,3.0,1,small,4,2
large,623308,34a,2529552,120.0,10.0,other,"Warm, comfortable, stylish, and so far looks good with everything. I LOVE this jacket. I am usually a medium, and a small is perfect for me, so order a size down.",athletic,GREAT JACKET!,jacket,64.0,8,44.0,2015-02-25,3.0,2,large,1,1
fit,576569,34b,1091654,145.0,10.0,wedding,"This dress was the perfect fit for a wedding, the dress code of which was ""Formal or Fabulous."" I got compliments on it throughout the evening. It was comfortable enough to dance the night away, though some of the sequins near the arms rubbed unpleasantly against my skin. Considering it was all sequins, that's to be expected. Overall, a great experience. ",pear,Fabulous dress for a Fabulous wedding,gown,65.0,12,33.0,2016-08-17,8.0,2,large,4,1
fit,693094,34d,130259,135.0,8.0,party,"I wasn't so sure about this dress when I first tried it on - but I got a ton of compliments. It fit easily - and was ""small bump"" friendly (I'm pregnant and just starting to show).

The sequins were quite scratchy under the arms. I also ended up having to safety pin to show a little less cleavage. 

This would be a great dress for NYE or a holiday party.",full bust,Tons of compliments,dress,66.0,16,33.0,2014-12-11,2.0,1,small,2,2
fit,434928,32b,2429745,125.0,10.0,vacation,Incredibly comfortable and really flattering. Wore it to brunch on vacation. Highly recommend.,straight & narrow,Love this Romper!,romper,69.0,8,36.0,2017-03-24,3.0,1,small,6,2
fit,321791,36d,131533,180.0,10.0,wedding,Loved this dress! Received compliments on it all night and felt great. When I rented they only had the long left so I just hemmed it with hem tape since I was wearing Toms. Only problem was that the zipper was extremely difficult to get up and down where the middle section comes together in the back. My fiancé had to use pliers and even then it took a lot of work. It was a little tight in the chest area (I'm a 36DD) but not too bad. Sad to see this dress go back! ,hourglass,Receiving so many compliments!,gown,65.0,21,27.0,2014-06-15,2.0,1,small,3,2
fit,925239,34b,2712258,130.0,10.0,work,"I am 5'2 so the pants were full length, not cropped for me.  The fabric was incredible comfortable and the fit was very flattering.",full bust,It was work,pants,62.0,24,38.0,2017-06-09,0.0,1,small,2,2
